,id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,home_y_card,home_r_card,away_y_card,away_r_card,home_shoton,away_shoton,home_shotoff,away_shotoff,home_foulcommit,away_foulcommit,home_cross,away_cross,home_corner,away_corner,home_possession,away_possession,HTP,ATP,Result
325,21843,2008/2009,4,2008-09-24 00:00:00,530118,Sevilla FC,RCD Espanyol,2,0,1.62,3.6,6.0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,65,35,5,7,H
322,21840,2008/2009,4,2008-09-24 00:00:00,530115,Villarreal CF,Racing Santander,2,0,1.57,3.75,6.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,50,50,7,2,H
329,21847,2008/2009,4,2008-09-25 00:00:00,530122,Málaga CF,Valencia CF,0,2,3.75,3.3,2.0,1,1,4,0,6,3,5,4,19,22,15,9,2,3,51,49,1,7,A
327,21845,2008/2009,4,2008-09-25 00:00:00,530120,RC Recreativo,Athletic Club de Bilbao,1,1,2.35,3.25,3.0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,65,35,3,4,D
321,21839,2008/2009,4,2008-09-25 00:00:00,530114,RCD Mallorca,CD Numancia,2,0,1.85,3.4,4.33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50,50,2,3,H
328,21846,2008/2009,4,2008-09-25 00:00:00,530121,Real Valladolid,UD Almería,2,0,2.1,3.3,3.5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,65,35,3,7,H
335,21853,2008/2009,5,2008-09-27 00:00:00,530128,RCD Espanyol,FC Barcelona,1,2,4.5,3.5,1.8,5,0,2,0,4,15,3,15,24,16,4,41,0,11,35,65,7,7,A
334,21852,2008/2009,5,2008-09-27 00:00:00,530127,Real Betis Balompié,Real Madrid CF,1,2,4.33,3.6,1.8,4,0,3,1,9,8,4,6,15,14,16,10,3,5,50,50,2,9,A
333,21851,2008/2009,5,2008-09-27 00:00:00,530126,Real Sporting de Gijón,Villarreal CF,0,1,5.5,3.75,1.62,3,0,2,0,0,0,0,0,0,0,0,0,0,0,53,47,0,10,A
337,21855,2008/2009,5,2008-09-28 00:00:00,530130,Athletic Club de Bilbao,Getafe CF,0,1,2.2,3.25,3.3,3,0,3,0,14,6,5,6,16,18,30,20,6,5,54,46,5,5,A
336,21854,2008/2009,5,2008-09-28 00:00:00,530129,Atlético Madrid,Sevilla FC,0,1,2.05,3.3,3.6,3,0,5,0,4,2,13,6,23,20,19,5,10,4,35,65,9,8,A
331,21849,2008/2009,5,2008-09-28 00:00:00,530124,CD Numancia,CA Osasuna,0,0,2.38,3.25,3.0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,53,47,3,3,D
339,21857,2008/2009,5,2008-09-28 00:00:00,530132,Málaga CF,Real Valladolid,2,1,2.5,3.25,2.8,3,0,3,0,0,0,0,0,0,0,0,0,0,0,54,46,1,6,H
332,21850,2008/2009,5,2008-09-28 00:00:00,530125,Racing Santander,RCD Mallorca,1,2,2.2,3.1,3.5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,53,47,2,5,A
338,21856,2008/2009,5,2008-09-28 00:00:00,530131,UD Almería,RC Recreativo,1,0,1.8,3.5,4.5,1,0,7,0,0,0,0,0,0,0,0,0,0,0,54,46,7,4,H
330,21848,2008/2009,5,2008-09-28 00:00:00,530123,Valencia CF,RC Deportivo de La Coruña,4,2,1.67,3.6,5.25,2,0,2,0,10,3,8,1,14,11,18,15,5,10,53,47,10,5,H
340,21858,2008/2009,6,2008-10-04 00:00:00,530133,FC Barcelona,Atlético Madrid,6,1,1.62,3.6,6.0,1,0,4,0,4,1,7,1,7,14,12,8,3,1,54,46,10,9,H
346,21864,2008/2009,6,2008-10-04 00:00:00,530139,Villarreal CF,Real Betis Balompié,2,1,1.57,3.6,6.5,5,0,5,0,3,9,6,9,15,25,18,14,6,6,54,46,13,2,H
343,21861,2008/2009,6,2008-10-05 00:00:00,530136,CA Osasuna,Racing Santander,0,1,2.05,3.25,3.75,3,1,4,0,0,0,0,0,0,0,0,0,0,0,56,44,4,2,A
345,21863,2008/2009,6,2008-10-05 00:00:00,530138,Getafe CF,UD Almería,2,2,2.0,3.4,3.75,2,0,2,0,0,0,0,0,0,0,0,0,0,0,56,44,8,10,D
342,21860,2008/2009,6,2008-10-05 00:00:00,530135,RC Deportivo de La Coruña,CD Numancia,1,0,1.73,3.5,5.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,56,44,5,4,H
349,21867,2008/2009,6,2008-10-05 00:00:00,530142,RC Recreativo,Málaga CF,0,4,2.1,3.25,3.6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,56,44,4,4,A
344,21862,2008/2009,6,2008-10-05 00:00:00,530137,RCD Mallorca,Real Sporting de Gijón,0,2,1.62,3.6,6.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,56,44,8,0,A
341,21859,2008/2009,6,2008-10-05 00:00:00,530134,Real Madrid CF,RCD Espanyol,2,2,1.33,5.0,9.0,3,0,1,0,8,3,13,4,18,10,9,5,0,2,56,44,12,7,D
347,21865,2008/2009,6,2008-10-05 00:00:00,530140,Real Valladolid,Valencia CF,0,1,3.3,3.25,2.2,1,0,4,0,5,3,9,4,15,18,29,13,10,1,54,46,6,13,A
348,21866,2008/2009,6,2008-10-05 00:00:00,530141,Sevilla FC,Athletic Club de Bilbao,4,0,1.44,4.2,7.5,2,0,4,0,7,6,6,5,10,13,14,14,5,7,56,44,11,5,H
352,21870,2008/2009,7,2008-10-18 00:00:00,530205,Atlético Madrid,Real Madrid CF,1,2,2.9,3.3,2.4,6,0,2,1,5,13,14,3,20,15,17,8,10,4,52,48,9,13,A
355,21873,2008/2009,7,2008-10-18 00:00:00,530208,RCD Espanyol,Villarreal CF,0,0,2.75,3.3,2.5,3,0,2,0,3,5,1,7,15,9,12,18,4,7,44,56,8,16,D
357,21875,2008/2009,7,2008-10-19 00:00:00,530210,Athletic Club de Bilbao,FC Barcelona,0,1,6.0,4.0,1.53,3,0,3,0,5,6,2,6,9,17,12,17,4,4,50,50,5,13,A
359,21877,2008/2009,7,2008-10-19 00:00:00,530212,Málaga CF,Getafe CF,2,1,2.5,3.25,2.8,3,0,2,0,0,0,0,0,0,0,0,0,0,0,57,43,7,9,H
353,21871,2008/2009,7,2008-10-19 00:00:00,530206,Racing Santander,RC Deportivo de La Coruña,0,0,2.15,3.25,3.4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,52,48,5,8,D
350,21868,2008/2009,7,2008-10-19 00:00:00,530143,Real Betis Balompié,RCD Mallorca,3,0,2.0,3.3,3.8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,56,44,2,8,H
351,21869,2008/2009,7,2008-10-19 00:00:00,530204,Real Sporting de Gijón,CA Osasuna,2,1,2.62,3.25,2.62,6,0,3,1,0,0,0,0,0,0,0,0,0,0,56,44,3,4,H
356,21874,2008/2009,7,2008-10-19 00:00:00,530209,Real Valladolid,RC Recreativo,1,1,1.83,3.4,4.5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,44,56,6,4,D
358,21876,2008/2009,7,2008-10-19 00:00:00,530211,UD Almería,Sevilla FC,0,1,2.7,3.25,2.6,1,0,3,0,5,4,3,5,15,17,9,10,0,4,57,43,11,14,A
354,21872,2008/2009,7,2008-10-19 00:00:00,530207,Valencia CF,CD Numancia,4,0,1.33,4.6,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,48,16,4,H
362,21880,2008/2009,8,2008-10-25 00:00:00,530215,CA Osasuna,Real Betis Balompié,0,2,2.3,3.2,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,43,4,5,A
366,21884,2008/2009,8,2008-10-25 00:00:00,530219,FC Barcelona,UD Almería,5,0,1.22,5.75,13.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,54,46,16,11,H
367,21885,2008/2009,8,2008-10-26 00:00:00,530220,CD Numancia,Racing Santander,2,1,2.5,3.25,2.8,3,0,3,0,0,0,0,0,0,0,0,0,0,0,54,46,4,6,H
369,21887,2008/2009,8,2008-10-26 00:00:00,530222,Getafe CF,Real Valladolid,1,0,1.91,3.3,4.2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,30,70,9,7,H
361,21879,2008/2009,8,2008-10-26 00:00:00,530214,RC Deportivo de La Coruña,Real Sporting de Gijón,0,3,1.73,3.5,5.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,57,43,9,6,A
368,21886,2008/2009,8,2008-10-26 00:00:00,530221,RC Recreativo,Valencia CF,1,1,4.0,3.4,1.91,4,0,2,0,2,7,3,5,22,10,15,13,3,5,30,70,5,19,D
363,21881,2008/2009,8,2008-10-26 00:00:00,530216,RCD Mallorca,RCD Espanyol,3,0,2.38,3.2,3.0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,57,43,8,9,H
365,21883,2008/2009,8,2008-10-26 00:00:00,530218,Real Madrid CF,Athletic Club de Bilbao,3,2,1.25,5.5,11.0,4,0,3,1,3,5,11,6,14,19,10,12,7,5,54,46,16,5,H
360,21878,2008/2009,8,2008-10-26 00:00:00,530213,Sevilla FC,Málaga CF,0,1,1.36,4.75,8.5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,57,43,17,10,A
364,21882,2008/2009,8,2008-10-26 00:00:00,530217,Villarreal CF,Atlético Madrid,4,4,2.05,3.4,3.6,2,0,4,0,12,4,7,0,13,15,24,5,10,3,68,32,17,9,D
370,21888,2008/2009,9,2008-11-01 00:00:00,530223,Athletic Club de Bilbao,Villarreal CF,1,4,3.25,3.3,2.2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,30,70,5,18,A
378,21896,2008/2009,9,2008-11-01 00:00:00,530231,Atlético Madrid,RCD Mallorca,2,0,1.53,4.0,6.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,46,54,10,11,H
371,21889,2008/2009,9,2008-11-01 00:00:00,530224,Málaga CF,FC Barcelona,1,4,9.0,4.5,1.36,2,0,3,0,2,4,1,5,19,24,12,9,1,4,45,55,13,19,A
379,21897,2008/2009,9,2008-11-01 00:00:00,530232,Valencia CF,Racing Santander,2,4,1.36,4.5,9.0,2,0,3,0,7,3,2,4,13,15,15,12,4,3,46,54,20,6,A
373,21891,2008/2009,9,2008-11-02 00:00:00,530226,RC Recreativo,Getafe CF,1,1,2.5,3.25,2.8,4,0,3,0,0,0,0,0,0,0,0,0,0,0,45,55,6,12,D
376,21894,2008/2009,9,2008-11-02 00:00:00,530229,RCD Espanyol,CA Osasuna,1,0,2.0,3.3,3.8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,58,42,9,4,H
375,21893,2008/2009,9,2008-11-02 00:00:00,530228,Real Betis Balompié,RC Deportivo de La Coruña,0,3,1.91,3.3,4.2,3,0,1,0,8,5,7,3,13,11,25,10,13,1,58,42,8,9,A
374,21892,2008/2009,9,2008-11-02 00:00:00,530227,Real Sporting de Gijón,CD Numancia,3,1,2.1,3.4,3.4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,45,55,9,7,H
372,21890,2008/2009,9,2008-11-02 00:00:00,530225,Real Valladolid,Sevilla FC,3,2,3.2,3.25,2.25,2,0,7,0,8,3,5,1,15,14,20,11,5,1,45,55,7,17,H
377,21895,2008/2009,9,2008-11-02 00:00:00,530230,UD Almería,Real Madrid CF,1,1,5.5,3.5,1.67,4,0,2,0,7,5,6,6,24,8,29,5,4,3,46,54,11,19,D
17,21535,2008/2009,10,2008-11-08 00:00:00,530240,FC Barcelona,Real Valladolid,6,0,1.17,6.5,18.0,1,0,1,0,7,3,7,0,6,5,8,6,8,4,62,38,22,10,H
16,21534,2008/2009,10,2008-11-08 00:00:00,530239,Real Madrid CF,Málaga CF,4,3,1.22,6.0,13.0,3,1,4,0,10,3,6,7,17,12,6,7,4,2,61,39,20,13,H
14,21532,2008/2009,10,2008-11-09 00:00:00,530237,CA Osasuna,Atlético Madrid,0,0,3.2,3.3,2.25,1,0,1,0,10,6,6,8,16,14,17,8,9,4,49,51,4,13,D
12,21530,2008/2009,10,2008-11-09 00:00:00,530235,CD Numancia,Real Betis Balompié,2,4,2.6,3.25,2.75,2,0,2,0,0,0,0,0,0,0,0,0,0,0,46,54,7,8,A
18,21536,2008/2009,10,2008-11-09 00:00:00,530241,Getafe CF,Valencia CF,0,3,2.9,3.3,2.4,5,1,4,0,0,0,0,0,0,0,0,0,0,0,62,38,13,20,A
13,21531,2008/2009,10,2008-11-09 00:00:00,530236,RC Deportivo de La Coruña,RCD Espanyol,1,0,2.15,3.3,3.4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,46,54,12,12,H
19,21537,2008/2009,10,2008-11-09 00:00:00,530242,RCD Mallorca,Athletic Club de Bilbao,3,3,2.1,3.3,3.5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,62,38,11,5,D
11,21529,2008/2009,10,2008-11-09 00:00:00,530234,Racing Santander,Real Sporting de Gijón,1,0,2.0,3.3,3.75,5,0,1,0,0,0,0,0,0,0,0,0,0,0,46,54,9,12,H
10,21528,2008/2009,10,2008-11-09 00:00:00,530233,Sevilla FC,RC Recreativo,1,0,1.36,4.5,9.0,2,0,2,0,2,5,6,5,12,14,28,18,6,5,46,54,17,7,H
15,21533,2008/2009,10,2008-11-09 00:00:00,530238,Villarreal CF,UD Almería,2,1,1.53,3.75,7.0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,49,51,21,12,H
27,21545,2008/2009,11,2008-11-15 00:00:00,530250,Real Valladolid,Real Madrid CF,1,0,4.2,3.3,1.91,3,0,5,0,2,11,4,5,15,19,16,14,7,6,51,49,10,23,H
21,21539,2008/2009,11,2008-11-15 00:00:00,530244,Valencia CF,Real Sporting de Gijón,2,3,1.36,4.75,8.5,2,0,2,0,10,3,6,7,14,14,21,7,7,3,65,35,23,12,A
24,21542,2008/2009,11,2008-11-16 00:00:00,530247,Athletic Club de Bilbao,CA Osasuna,2,0,2.1,3.3,3.5,3,0,4,0,9,3,6,3,24,22,15,18,7,5,50,50,6,5,H
23,21541,2008/2009,11,2008-11-16 00:00:00,530246,Atlético Madrid,RC Deportivo de La Coruña,4,1,1.62,3.75,5.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,65,35,14,15,H
28,21546,2008/2009,11,2008-11-16 00:00:00,530251,Getafe CF,Sevilla FC,0,2,2.88,3.3,2.4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,51,49,13,20,A
26,21544,2008/2009,11,2008-11-16 00:00:00,530249,Málaga CF,Villarreal CF,2,2,3.4,3.4,2.1,4,0,3,0,8,6,3,6,11,24,27,12,11,5,53,47,13,24,D
29,21547,2008/2009,11,2008-11-16 00:00:00,530252,RC Recreativo,FC Barcelona,0,2,9.0,5.0,1.33,3,0,2,0,3,7,2,10,21,11,10,25,5,5,34,66,7,25,A
22,21540,2008/2009,11,2008-11-16 00:00:00,530245,RCD Espanyol,CD Numancia,3,4,1.73,3.5,5.0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,65,35,12,7,A
20,21538,2008/2009,11,2008-11-16 00:00:00,530243,Real Betis Balompié,Racing Santander,3,1,1.91,3.4,4.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,62,38,11,12,H
25,21543,2008/2009,11,2008-11-16 00:00:00,530248,UD Almería,RCD Mallorca,2,1,2.0,3.3,3.8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,50,50,12,12,H
37,21555,2008/2009,12,2008-11-22 00:00:00,530260,Real Madrid CF,RC Recreativo,1,0,1.3,5.5,9.0,1,0,3,0,8,3,11,4,11,22,21,13,5,5,60,40,23,7,H
33,21551,2008/2009,12,2008-11-22 00:00:00,530256,Sevilla FC,Valencia CF,0,0,2.2,3.25,3.3,2,0,3,0,7,8,9,6,12,22,10,9,5,3,47,53,23,23,D
31,21549,2008/2009,12,2008-11-22 00:00:00,530254,Villarreal CF,Real Valladolid,0,3,1.44,4.0,8.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,34,66,25,13,A
34,21552,2008/2009,12,2008-11-23 00:00:00,530257,CA Osasuna,UD Almería,3,1,2.25,3.2,3.25,3,0,3,1,0,0,0,0,0,0,0,0,0,0,47,53,5,15,H
38,21556,2008/2009,12,2008-11-23 00:00:00,530261,CD Numancia,Atlético Madrid,1,1,3.6,3.5,2.0,2,0,3,0,8,4,6,4,16,15,18,12,5,6,42,58,10,17,D
32,21550,2008/2009,12,2008-11-23 00:00:00,530255,FC Barcelona,Getafe CF,1,1,1.18,7.0,15.0,3,0,4,0,7,7,9,1,18,18,26,8,13,5,67,33,28,13,D
35,21553,2008/2009,12,2008-11-23 00:00:00,530258,RC Deportivo de La Coruña,Athletic Club de Bilbao,3,1,2.0,3.3,3.8,3,0,2,0,8,6,3,5,13,14,24,16,10,7,53,47,15,9,H
36,21554,2008/2009,12,2008-11-23 00:00:00,530259,RCD Mallorca,Málaga CF,2,2,2.1,3.4,3.4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,53,47,12,14,D
30,21548,2008/2009,12,2008-11-23 00:00:00,530253,Racing Santander,RCD Espanyol,3,0,2.1,3.25,3.6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,34,66,12,12,H
39,21557,2008/2009,12,2008-11-23 00:00:00,530262,Real Sporting de Gijón,Real Betis Balompié,1,2,2.4,3.2,3.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,42,58,15,14,A
48,21566,2008/2009,13,2008-11-29 00:00:00,530331,Getafe CF,Real Madrid CF,3,1,3.5,3.3,2.1,2,0,5,0,3,6,8,8,19,20,15,21,4,8,44,56,14,26,H
46,21564,2008/2009,13,2008-11-29 00:00:00,530329,Sevilla FC,FC Barcelona,0,3,3.4,3.5,2.1,0,1,3,0,3,13,7,8,14,13,15,15,1,2,35,65,24,29,A
49,21567,2008/2009,13,2008-11-30 00:00:00,530332,Athletic Club de Bilbao,CD Numancia,2,0,1.85,3.5,4.2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,44,56,9,11,H
43,21561,2008/2009,13,2008-11-30 00:00:00,530326,Atlético Madrid,Racing Santander,4,1,1.57,3.8,6.0,4,0,2,1,3,3,3,5,14,10,14,15,1,8,57,43,18,15,H
47,21565,2008/2009,13,2008-11-30 00:00:00,530330,Málaga CF,CA Osasuna,4,2,2.2,3.25,3.25,3,0,3,0,0,0,0,0,0,0,0,0,0,0,35,65,15,8,H
41,21559,2008/2009,13,2008-11-30 00:00:00,530324,RC Recreativo,Villarreal CF,1,2,3.5,3.3,2.1,1,0,3,0,4,3,10,5,14,14,32,12,10,6,55,45,7,25,A
42,21560,2008/2009,13,2008-11-30 00:00:00,530325,RCD Espanyol,Real Sporting de Gijón,0,1,2.1,3.3,3.5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,55,45,12,15,A
45,21563,2008/2009,13,2008-11-30 00:00:00,530328,Real Valladolid,RCD Mallorca,3,0,2.0,3.3,3.8,3,0,2,0,0,0,0,0,0,0,0,0,0,0,47,53,16,13,H
40,21558,2008/2009,13,2008-11-30 00:00:00,530263,UD Almería,RC Deportivo de La Coruña,0,1,2.1,3.3,3.5,3,1,3,0,0,0,0,0,0,0,0,0,0,0,42,58,15,18,A
44,21562,2008/2009,13,2008-11-30 00:00:00,530327,Valencia CF,Real Betis Balompié,3,2,1.8,3.4,4.5,3,1,3,0,2,7,6,8,18,15,23,31,3,8,47,53,24,17,H
54,21572,2008/2009,14,2008-12-06 00:00:00,530337,FC Barcelona,Valencia CF,4,0,1.53,4.2,6.0,0,0,5,0,5,2,8,0,15,19,7,14,3,3,59,41,32,27,H
59,21577,2008/2009,14,2008-12-06 00:00:00,530342,Real Sporting de Gijón,Atlético Madrid,2,5,3.4,3.2,2.2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,56,44,18,21,A
53,21571,2008/2009,14,2008-12-06 00:00:00,530336,Villarreal CF,Getafe CF,3,3,1.73,3.6,4.75,1,0,3,0,7,2,12,6,15,17,13,5,5,1,56,44,28,17,D
51,21569,2008/2009,14,2008-12-07 00:00:00,530334,CA Osasuna,Real Valladolid,3,3,2.2,3.4,3.2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,44,56,8,19,D
55,21573,2008/2009,14,2008-12-07 00:00:00,530338,CD Numancia,UD Almería,2,1,2.4,3.4,2.8,2,1,3,0,0,0,0,0,0,0,0,0,0,0,59,41,11,15,H
50,21568,2008/2009,14,2008-12-07 00:00:00,530333,RC Deportivo de La Coruña,Málaga CF,2,0,1.91,3.4,4.0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,44,56,21,18,H
